ID,PHOTO,NAME,TEAM,FC_BC,#,COLLEGE,WEIGHT,HEIGHT,AGE,DOB,EXP,POS
203999,https://cdn.nba.com/headshots/nba/latest/520x380/203999.png,Nikola Jokić,DEN,FC,15,None,284,"6'11""",31,2/19/1995,10,C
1641705,https://cdn.nba.com/headshots/nba/latest/520x380/1641705.png,Victor Wembanyama,SAS,FC,1,None,240,"7'4""",21,04/01/2004,2,PF
1628983,https://cdn.nba.com/headshots/nba/latest/520x380/1628983.png,Shai Gilgeous-Alexander,OKC,BC,2,Kentucky,200,"6'6""",27,12/07/1998,7,PG
203507,https://cdn.nba.com/headshots/nba/latest/520x380/203507.png,Giannis Antetokounmpo,MIL,FC,34,None,246,"6'11""",31,06/12/1994,12,PF
1629029,https://cdn.nba.com/headshots/nba/latest/520x380/1629029.png,Luka Dončić,LAL,BC,77,None,244,"6'7""",27,2/28/1999,7,PG
1627734,https://cdn.nba.com/headshots/nba/latest/520x380/1627734.png,Domantas Sabonis,SAC,FC,11,Gonzaga,240,"6'11""",30,03/05/1996,9,C
1630595,https://cdn.nba.com/headshots/nba/latest/260x190/1630595.png,Cade Cunningham,DET,BC,2,Oklahoma State,217,"6'6""",24,9/25/2001,4,PG
1629027,https://cdn.nba.com/headshots/nba/latest/520x380/1629027.png,Trae Young,WAS,BC,11,Oklahoma,180,"6'1""",27,9/19/1998,7,PG
203954,https://cdn.nba.com/headshots/nba/latest/520x380/203954.png,Joel Embiid,PHI,FC,21,Kansas,270,"7'0""",31,3/16/1994,9,C
1626157,https://cdn.nba.com/headshots/nba/latest/520x380/1626157.png,Karl-Anthony Towns,NYK,FC,32,Kentucky,248,"7'0""",30,11/15/1995,10,PF
1630162,https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png,Anthony Edwards,MIN,BC,5,Georgia,225,"6'4""",24,05/08/2001,5,SG
2544,https://cdn.nba.com/headshots/nba/latest/520x380/2544.png,LeBron James,LAL,FC,23,None,250,"6'9""",41,12/30/1984,22,SF
201935,https://cdn.nba.com/headshots/nba/latest/520x380/201935.png,James Harden,CLE,BC,1,Arizona State,220,"6'5""",36,8/26/1989,16,SG
203076,https://cdn.nba.com/headshots/nba/latest/260x190/203076.png,Anthony Davis,WAS,FC,3,Kentucky,268,"6'10""",32,11/03/1993,13,C
1627826,https://cdn.nba.com/headshots/nba/latest/520x380/1627826.png,Ivica Zubac,IND,FC,40,None,240,"7'0""",28,3/18/1997,9,C
1630578,https://cdn.nba.com/headshots/nba/latest/260x190/1630578.png,Alperen Sengun,HOU,FC,28,None,255,"6'11""",23,7/25/2002,4,C
1628369,https://cdn.nba.com/headshots/nba/latest/520x380/1628369.png,Jayson Tatum,BOS,FC,0,Duke,224,"6'8""",27,03/03/1998,8,SF
1626164,https://cdn.nba.com/headshots/nba/latest/520x380/1626164.png,Devin Booker,PHX,BC,1,Kentucky,206,"6'5""",29,10/30/1996,10,SG
201142,https://cdn.nba.com/headshots/nba/latest/520x380/201142.png,Kevin Durant,HOU,FC,7,Texas,240,"6'10""",37,9/29/1988,18,PF
1630567,https://cdn.nba.com/headshots/nba/latest/520x380/1630567.png,Scottie Barnes,TOR,FC,4,Florida State,237,"6'8""",25,01/08/2001,4,SF
1631094,https://cdn.nba.com/headshots/nba/latest/520x380/1631094.png,Paolo Banchero,ORL,FC,5,Duke,250,"6'10""",23,12/11/2002,3,PF
1631114,https://cdn.nba.com/headshots/nba/latest/520x380/1631114.png,Jalen Williams,OKC,BC,8,Santa Clara,220,"6'6""",24,4/14/2001,3,SF
1628973,https://cdn.nba.com/headshots/nba/latest/520x380/1628973.png,Jalen Brunson,NYK,BC,11,Villanova,190,"6'2""",29,8/31/1996,7,PG
1628389,https://cdn.nba.com/headshots/nba/latest/260x190/1628389.png,Bam Adebayo,MIA,FC,13,Kentucky,255,"6'9""",28,7/18/1997,8,C
201939,https://cdn.nba.com/headshots/nba/latest/520x380/201939.png,Stephen Curry,GSW,BC,30,Davidson,185,"6'2""",37,3/14/1988,16,PG
1628378,https://cdn.nba.com/headshots/nba/latest/520x380/1628378.png,Donovan Mitchell,CLE,BC,45,Louisville,215,"6'3""",29,07/09/1996,8,SG
1630163,https://cdn.nba.com/headshots/nba/latest/520x380/1630163.png,LaMelo Ball,CHA,BC,1,None,180,"6'7""",24,8/22/2001,5,PG
1628368,https://cdn.nba.com/headshots/nba/latest/520x380/1628368.png,De'Aaron Fox,SAS,BC,4,Kentucky,190,"6'3""",28,12/20/1997,8,PG
1630178,https://cdn.nba.com/headshots/nba/latest/520x380/1630178.png,Tyrese Maxey,PHI,BC,0,Kentucky,200,"6'2""",25,04/11/2000,5,PG
1629627,https://cdn.nba.com/headshots/nba/latest/520x380/1629627.png,Zion Williamson,NOP,FC,1,Duke,284,"6'6""",25,06/07/2000,6,PF
1629630,https://cdn.nba.com/headshots/nba/latest/520x380/1629630.png,Ja Morant,MEM,BC,12,Murray State,174,"6'2""",26,10/08/1999,6,PG
202695,https://cdn.nba.com/headshots/nba/latest/520x380/202695.png,Kawhi Leonard,LAC,FC,2,San Diego State,225,"6'7""",34,6/29/1991,14,SF
1630532,https://cdn.nba.com/headshots/nba/latest/520x380/1630532.png,Franz Wagner,ORL,FC,22,Michigan,230,"6'10""",24,8/27/2001,4,SF
1630217,https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png,Desmond Bane,ORL,BC,3,TCU,215,"6'6""",27,6/25/1998,5,SG
1629639,https://cdn.nba.com/headshots/nba/latest/520x380/1629639.png,Tyler Herro,MIA,BC,14,Kentucky,195,"6'5""",26,1/20/2000,6,SG
1628991,https://cdn.nba.com/headshots/nba/latest/520x380/1628991.png,Jaren Jackson Jr.,UTA,FC,8,Michigan State,242,"6'10""",26,9/15/1999,7,PF
1627783,https://cdn.nba.com/headshots/nba/latest/520x380/1627783.png,Pascal Siakam,IND,FC,43,New Mexico State,245,"6'8""",32,02/04/1994,9,PF
1627750,https://cdn.nba.com/headshots/nba/latest/520x380/1627750.png,Jamal Murray,DEN,BC,27,Kentucky,215,"6'4""",29,2/23/1997,9,PG
1630596,https://cdn.nba.com/headshots/nba/latest/520x380/1630596.png,Evan Mobley,CLE,FC,4,Southern California,215,"7'0""",24,6/18/2001,4,PF
202696,https://cdn.nba.com/headshots/nba/latest/520x380/202696.png,Nikola Vučević,BOS,FC,9,Southern California,260,"6'10""",35,10/24/1990,14,C
201942,https://cdn.nba.com/headshots/nba/latest/260x190/201942.png,DeMar DeRozan,SAC,BC,10,Southern California,220,"6'6""",36,07/08/1989,16,SF
1631096,https://cdn.nba.com/headshots/nba/latest/260x190/1631096.png,Chet Holmgren,OKC,FC,7,Gonzaga,213,"7'1""",24,01/05/2002,2,C
1628404,https://cdn.nba.com/headshots/nba/latest/520x380/1628404.png,Josh Hart,NYK,BC,3,Villanova,215,"6'4""",30,06/03/1995,8,SF
1627749,https://cdn.nba.com/headshots/nba/latest/520x380/1627749.png,Dejounte Murray,NOP,BC,5,Washington,181,"6'5""",29,9/19/1996,9,SG
1641708,https://cdn.nba.com/headshots/nba/latest/260x190/1641708.png,Amen Thompson,HOU,BC,1,None,215,"6'7""",23,1/30/2003,2,SG
202710,https://cdn.nba.com/headshots/nba/latest/520x380/202710.png,Jimmy Butler III,GSW,FC,10,Marquette,230,"6'7""",36,9/14/1989,14,SF
202681,https://cdn.nba.com/headshots/nba/latest/520x380/202681.png,Kyrie Irving,DAL,BC,11,Duke,191,"6'2""",33,23/03/1992,14,PG
1630581,https://cdn.nba.com/headshots/nba/latest/520x380/1630581.png,Josh Giddey,CHI,BC,3,None,216,"6'8""",23,10/10/2002,4,SG
1628970,https://cdn.nba.com/headshots/nba/latest/520x380/1628970.png,Miles Bridges,CHA,FC,0,Michigan State,225,"6'7""",27,3/21/1998,6,SF
1627759,https://cdn.nba.com/headshots/nba/latest/520x380/1627759.png,Jaylen Brown,BOS,BC,7,California,237,"6'6""",29,10/24/1996,9,SG
1630552,https://cdn.nba.com/headshots/nba/latest/520x380/1630552.png,Jalen Johnson,ATL,FC,1,Duke,220,"6'9""",24,12/18/2001,4,PF
1630700,https://cdn.nba.com/headshots/nba/latest/520x380/1630700.png,Dyson Daniels,ATL,BC,5,None,203,"6'7""",22,3/17/2003,3,PG
1628374,https://cdn.nba.com/headshots/nba/latest/520x380/1628374.png,Lauri Markkanen,UTA,FC,23,Arizona,244,"7'0""",28,5/22/1997,8,PF
1628384,https://cdn.nba.com/headshots/nba/latest/520x380/1628384.png,OG Anunoby,NYK,FC,8,Indiana,240,"6'7""",28,7/17/1997,8,SF
203497,https://cdn.nba.com/headshots/nba/latest/520x380/203497.png,Rudy Gobert,MIN,FC,27,None,255,"7'1""",33,6/26/1992,12,C
203944,https://cdn.nba.com/headshots/nba/latest/520x380/203944.png,Julius Randle,MIN,FC,30,Kentucky,255,"6'9""",31,11/29/1994,11,PF
1630559,https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png,Austin Reaves,LAL,BC,15,Oklahoma,210,"6'5""",27,5/29/1998,4,SG
