Week,Day,Date,Day Name,Time,Home Team,Away Team,Home Score,Away Score,Status,Game ID,ID,Player,PTS,MP,PS,R,A,B,S
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1628976,Wendell Carter Jr.,33,35,11,11,4,1,0
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1630217,Desmond Bane,56,36,35,6,6,0,1
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1630591,Jalen Suggs,31,32,12,2,4,0,3
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1641724,Jett Howard,17,22,8,4,1,1,0
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1628975,Jevon Carter,19,20,9,0,2,1,1
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1629021,Moritz Wagner,11,13,1,5,1,0,1
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1642869,Noah Penda,8,11,4,2,1,0,0
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1630241,Sam Merrill,24,30,13,4,2,0,1
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1629731,Dean Wade,8,20,0,5,0,1,0
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1630596,Evan Mobley,45,32,18,13,4,2,0
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1628378,Donovan Mitchell,43,36,25,5,5,0,1
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,201935,James Harden,51,37,30,5,8,0,0
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1642281,Jaylon Tyson,9,18,4,1,2,0,0
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1631165,Keon Ellis,32,31,20,4,1,1,1
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,1628418,Thomas Bryant,20,18,12,5,0,1,0
21,3,11/03/2026,Wednesday,23:30,ORL,CLE,128,122,Final,22500947,203471,Dennis Schröder,4,18,0,0,2,0,0
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1630180,Saddiq Bey,24,28,9,4,4,1,0
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1629627,Zion Williamson,36,32,19,6,4,0,1
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1630529,Herbert Jones,23,36,16,2,1,0,1
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1630530,Trey Murphy III,50,34,28,7,3,0,3
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1627749,Dejounte Murray,50,32,27,5,6,0,2
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,201599,DeAndre Jordan,11,13,3,4,2,0,0
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1642852,Derik Queen,23,14,3,5,3,2,1
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1642847,Jeremiah Fears,16,17,7,2,2,0,1
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1642274,Yves Missi,26,19,6,10,2,2,0
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1631255,Karlo Matkovi?,10,13,4,3,0,0,1
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1642877,Micah Peavy,0,1,0,0,0,0,0
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1641722,Jordan Hawkins,1,1,0,1,0,0,0
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1627742,Brandon Ingram,50,38,22,6,5,0,4
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1630567,Scottie Barnes,35,36,9,6,4,1,3
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1627751,Jakob Poeltl,22,30,8,5,0,3,0
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1629628,RJ Barrett,28,28,16,7,1,0,1
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1630193,Immanuel Quickley,43,34,25,6,3,0,2
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1630572,Sandro Mamukelashvili,18,21,8,5,1,1,0
21,3,12/03/2026,Thursday,00:00,NOP,TOR,122,111,Final,22500948,1642266,Ja'Kobe Walter,6,11,0,1,1,0,1
